Controle|Código|Produto|Fabricante|Preço Custo|Preço Venda|Lucro|Quantidade|Unidade|Obs|NCM|IPI|CST|ICMS|Base Cálculo|iva_st|cean|ceantrib
143|7898131331796|CENTRO PARA 3 DISJUNTOR CANAL|CANAL|10.64|19|78.57|1|un||73101090|0|500|1.36|100|0|7898131331796|7898131331796
144|800|ARAME RECOZIDO TORCIDO JORMACA KG|JORCAMA|18.9|26.8|41.8|-32|KG||72171090|0|500|1.36|100|0||
145|7898641150146|DSJUNTOR C25 BIPOLAR  ELITEK||17.4|38|118.39|3|UN||85362000|0|500|1.36|100|0|7898641150146|7898641150146
146|7896202400426|VALVULA PVC AMERICANA CROMADA  OVERTIME|OVERTIME|5|9.9|98|3|UN||39174090|0|500|1.36|100|0|7896202400426|7896202400426
147|7897321118322|VEDALIT 1 LT S/DOSADOR (VEDACIT)|VEDACIT|12.49|25.8|106.57|3|UN||38244000|0|500|1.36|100|0|7897321118322|7897321118322
148|01689997218803|TRENA EM BORRACHADA ELITE 5MT|ELITE|7.5|12|60|-1|UN|||0|500|1.36|100|0||
149|5|PISO BLACK 4334 43X43 CX 2,06M|NOVA BL|5.3|6.7639|27.55|25|CX||25222000|0|500|1.36|100|0||
150|6|PISO WHITE 4335 43,X43  CX 2,06M|NOVA BL|30.78|39.28|27.62|6|CX||69089000|0|500|1.36|100|0||
151|282|PISO CARGO WHITE 4070 43X43 CX 2,50M|NOVA BL|30.78|39.28|27.62|4|CX||69089000|0|500|1.36|100|0||
152|257|PISO 4022 43X43 CX 2,50M|NOVA BL|30.78|39.28|27.62|6|CX||69089000|0|500|1.36|100|0||
153|141|PISO 4020 43X43 CX 2,50  MT|NOVA BL|30.78|39.28|27.62|6|CX||69089000|0|500|1.36|100|0||
154|107|PISO 4001 43X43 CX 2,06M|NOVA BL|31.02|40.33|30.01|-2|CX||69089000|0|500|1.36|100|0||
155|108|PISO 4002 43X43 CX 2,06M|NOVA BL|31.02|40.33|30.01|6|CX||69089000|0|500|1.36|100|0||
156|42|PISO ZEUS BG  ANTI TOMBO 43X43 CX 2,06M|NOVA BL|31.02|40.33|30.01|6|CX||69089000|0|500|1.36|100|0||
157|280|PISO 4060 ANTI TOMBO 43X43 CX 2,50|NOVA BL|36.67|47.671|30|6|CX||69089000|0|500|1.36|100|0||
158|281|PISO 4066 DECOR  43X43 CX 2,50M|NOVA BL|36.67|47.671|30|6|CX||69089000|0|500|1.36|100|0||
159|87|PISO K45145 HD 45X45 CX 2,23 MT|NOVA BL|37.1|48.23|30|-2|CX||69089000|0|500|1.36|100|0||
160|64|PISO 45174 HD 45X45 CX 2,23MT|NOVA BL|37.1|48.23|30|6|CX||69809000|0|500|1.36|100|0||
161|65|PISO 45077 HD ANTI-TOMBO 45X45 CX 2,23MT|NOVA BL|37.1|48.23|30|50|CX||69089000|0|500|1.36|100|0||
162|220|PISO GRANITE CZA ANTI-TOMBO 53X53 CX 2,30MT|NOVA BL|34.63|45.019|30|60|CX||69089000|0|500|1.36|100|0||
164|228|PISO MONTREAL PISO HD 61X61 CX 2,60MT|NOVA BL|45.29|58.877|30.01|60|CX||69809000|0|500|1.36|100|0||
165|238|PISO IBIZA PISO HD 61X61 CX 2,60MT|NOVA BL|45.29|58.877|30.01|46|CX||69089000|0|500|1.36|100|0||
166|237|PISO ADVANCE PISO HD 61X61 CX 2,60MT|NOVA BL|45.29|58.877|30.01|60|CX||69089000|0|500|1.36|100|0||
167|3|REVESTIMENTO CLEAN 33006 33X46 CX 2 MT|NOVA BL|29.34|38.142|29.99|60|CX||69072200|0|500|1.36|100|0||
168|35|REVES. CRISTAL HD PTO 32X57 CX 2,20MT|NOVA BL|39.7|51.61|30|30|CX||69072200|0|500|1.36|100|0||
169|33|REVEST. CRISTAL HD BG 32X57 CX 2,20M|NOVA BL|39.27|51.051|30|20|CX||69072200|0|500|1.36|100|0||
170|10|REVEST. PRISMA COLOR HD 32X57 CX 2,20M||39.27|51.051|30|30|CX||69072200|0|500|1.36|100|0||
171|20|REVEST. GLACIAL 33X46 CX 2.00MT||29.34|38.142|29.99|30|CX||69072200|0|500|1.36|100|0||
172|19|REVEST. FLORATA 33X46 CX 2.00MT||29.34|38.142|29.99|10|CX||69072200|0|500|1.36|100|0||
173|000120|BLOCO DE( 14X19X39)  concreto ||1.6|2.02|26.25|-9688|UN||68101100|0|500|1.36|100|0||
176|7898342733297|ESMALTE SINT. 225ML AREIA MONTE COR|MONTECOR|6.25|13.9|122.4|1|||32091020|0|500|1.36|100|0|7898342733297|7898342733297
177|7898959754029|SUPORTE DE TV 10-55 POLEGADAS CANAÃ ARTICULADO|CANNAA|35|63|80|1|UN||07032090|0|500|1.36|100|0|7898959754029|7898959754029
178|7891323109289|ESMALTE SINT. 230ML ALUMINIO MONTECOR|MONTEOR|6.25|13.9|122.4|-1|LT||32082019|0|500|1.36|100|0|7891323109289|7891323109289
182|7898342733891|ESMALTE SINT. 225ML MARROM CONHAQUE IRAJÁ|MONTECOR|6.25|13.9|122.4|0|PC||32091020|0|500|1.36|100|0|7898342733891|7898342733891
183|7898342734133|ESMALTE SINT. 225ML VERMELHO IRAJÁ|IRAJÁ|6.25|13.9|122.4|-1|PC||32091020|0|500|1.36|100|0|7898342734133|7898342734133
189|7899206126439|ESTRANHO DE SOLDA 25G BEST|Best|3.9|6.8|74.36|6|PC||83119000|0|102|1.36|100|0|7896551300132|7896551300132
190|7897801302173|CAIXA SIF. KRONA BR. 100X100X50MM GR CRO|KRONA|6.87|18.9|175.11|-10|UN||39174090|0|102|1.36|100|0|7897801302173|7897801302173
191|7897801302180|CX. SIFONADA QUADRADA  BR. 100X100X50|KRONA|6.89|12.5|81.42|5|UN||39174090|0|102|1.36|100|0|7897801302180|7897801302180
192|7897801302746|RALO SIFONADO DN 100X52MMX40 KRONA|KRONA|9.79|14.9|52.2|6|UN||39174090|0|500|1.36|100|0|7897801302746|7897801302746
193|7897801302753|RALO SIFONADO REDONDO 100X38X40 KRONA|KRONA|3.2|8|150|-5|UN||38174090|0|102|1.36|100|0|7897801302753|7897801302753
194|7897801301237|VALVULA PVC LAVATORIO S/LADRAO KRONA|KRONA|3.9|7.9|102.56|46|UN||39174090|0|102|1.36|100|0|7897801301237|7897801301237
197|7891265403308|SERRA STARRETT BIMETAL 300MM 12 18T|Starrett|6.9|12|73.91|-16|UN||82029100|0|102|1.36|100|0|7891265403308|7891265403308
198|7896202400419|MAO FRANCESA 20CM OVERTIME|OVERTIME|4.5|6.8|51.11|4|UN||72166110|0|500|1.36|100|0|7896202400419|7896202400419
199|7898956620389|RODA P/ CARRINHO DE PEDREIRO S/PNEU|dlucca|29.09|44.9|54.35|1|UN||87169090|0|500|1.36|100|0|7898956620389|7898956620389
201|7898562870796|BRACADEIRA 10/12 BRANCA C/ PREGO DE ACO C/ 20 PC|PIKISS|2.4|4.8|100|7|CAR||39259090|0|102|1.36|100|0|7898562870796|7898562870796
202|7898663640014|PLAFON SEXTAVADO BRANCO ELITE||3.9|7.8|100|-4||||0|102|1.36|100|0|7898663640014|7898663640014
204|7898011971036|RODEL PORCELANATO THOMPSON|THOMPSON|8.9|18.9|112.36|4|UN||84669100|0|500|1.36|100|0|7898011971036|7898011971036
206|7898173506244|TINTA SPRAY AZUL ESCURO RADCOLOR|RADCOLOR|8.97|15.5|72.8|7|UN||32091010|0|500|1.36|100|0|7898173506244|7898173506244
207|7898173505988|TINTA SPRAY BRANCO FOSCO RADCOLOR|BARROS|8.9|15.5|74.16|-1|UN||32089010|0|102|1.36|100|0|7898173505988|7898173505988
208|7891019138449|LATEX ACRIL 18L BRANCO NEVE CORALAR|CORAL|119.72|165|37.82|0|LT||32091010|0|500|1.36|100|0|7891019138449|7891019138449
209|7891019138456|LATEX CORALAR ACR. BRANCO GL 3,600|CORAL|33.61|48|42.81|-1|UN||32091010|0|500|1.36|100|0|7891019138456|7891019138456
210|7899206117222|NIVEL DE ALUMINIO 12 BESTFER|BESTFER|11.9|18.9|58.82|0|UN||90318099|0|500|1.36|100|0|7899206117222|7899206117222
211|7899206116997|CHAVE DE GRIFO 12'' BESTFER|BESTFER|16|40|150|4|UN||82041200|0|102|1.36|100|0|7899206116997|7899206116997
212|7896094555686|SILICONE INCOLOR 50G GARIN|PROTEG|2.9|8.5|193.1|11|UN||39191000|0|500|1.36|100|0|7899674011374|7899674011374
214|7899044771884|GALVITE 3,600 LITROS BRAZILLIAN |BRAZILLIAN|78.83|118.9|50.83|1|UN||32089010|0|500|1.36|100|0|7899044771884|7899044771884
215|7891200007431|COLA BRANCA 500GR CASCOREZ CASCOLA|HELKEL|11.85|18.9|59.49|2|UN||35069110|0|500|1.36|100|0|7891200007431|7891200007431
